StateWellID,Latitude,Longitude,Fluoride_avg,WellDepth,Rainfall,Elevation,Tmin,claytotal_l,awc_l,pi_r,ph_r
2448204,33.341389,-102.074167,5.42,152,464.4888805,1000,8.11580722,10,0.109999999,9,8
2835511,32.4325,-101.678889,1.08,35,460.9441593,808,10.21459297,20,0.07,18,8.199999809
2835603,32.439445,-101.661112,7.073333333,40,463.686245,813,10.14716316,20,0.07,18,8.199999809
2844205,32.349445,-101.545,2.76,93,460.311467,796,10.34322894,20,0.07,18,8.199999809
2846401,32.3322222,-101.3530556,1.8,75,471.5879701,760,10.42042807,6,0.090000004,11,6.900000095
2845701,32.29,-101.496667,2.7575,84,460.1737856,778,10.5190806,5,0.109999999,6,8
2846712,32.278889,-101.372222,1.995,67,470.1493792,749,10.4940071,5,0.109999999,6,8
2853206,32.238334,-101.434167,0.5,150,463.5322073,751,10.59202814,12,0.100000001,9,8.100000381
2838401,32.4219444,-101.3705556,0.94,100,474.6498935,781,10.24762459,27,0.119999997,19,7.900000095
2836601,32.421944,-101.541945,2.653333333,136,467.38875,818,9.9837915,20,0.090000004,16,8.399999619
2836702,32.384722,-101.618055,14.06666667,30,457.7941502,792,10.37607168,20,0.090000004,16,8.399999619
2837411,32.439167,-101.480555,1.37,175,471.1273755,817,9.9003876,20,0.090000004,16,8.399999619
2838701,32.410834,-101.345834,2.52,120,475.6384615,773,10.30119853,20,0.090000004,16,8.399999619
534205,35.469167,-100.796945,0.53,250,586.5953901,900,6.95902327,22,0.100000001,21,8.399999619
534206,35.4725,-100.798334,0.685,251,586.200071,903,6.95132096,22,0.100000001,21,8.399999619
551101,35.2130556,-100.7294444,0.5,310,636.9189461,889,7.15682749,22,0.100000001,21,8.399999619
526102,35.595,-100.8458333,0.55,360,576.0838155,952,6.78072549,15,0.01,12.5,8.199999809
535706,35.380278,-100.715001,0.3,150,607.6179845,859,7.09931586,20,0.079999998,15,7.900000095
552106,35.235278,-100.598611,0.41,165,654.693112,860,7.35823869,20,0.079999998,15,7.900000095
525401,35.5605556,-100.9933333,1.12,502,557.835418,985,6.72224303,25,0.100000001,17,8.199999809
525503,35.5541667,-100.9405556,0.91,525,559.6827764,976,6.75681704,27,0.119999997,22,7.099999905
525706,35.515278,-100.963612,0.7,460,558.7508929,983,6.71594023,27,0.109999999,22,7.099999905
525813,35.519444,-100.917778,0.91,520,561.6128681,970,6.77334495,27,0.109999999,22,7.099999905
526615,35.581944,-100.756945,0.845,490,596.6481855,941,6.79090449,27,0.109999999,22,7.099999905
527105,35.591945,-100.717222,0.67,483,605.0414073,932,6.79646271,27,0.109999999,22,7.099999905
527702,35.5375,-100.750278,0.83,561,597.5989409,938,6.80777069,27,0.109999999,22,7.099999905
541501,35.300001,-100.953889,0.83,310,580.6980578,977,6.68103601,27,0.109999999,22,7.099999905
640507,35.452223,-101.042778,0.79,452,557.5425465,997,6.60372191,27,0.109999999,22,7.099999905
648501,35.331667,-101.051389,1.24,480,561.9740963,1000,6.58269885,27,0.109999999,22,7.099999905
534509,35.435556,-100.799445,0.3,140,588.1970306,886,7.02010576,5,0.02,3,8.199999809
2708503,32.9419444,-102.06,5.1775,100,451.2394455,942,8.47665668,4,0.109999999,5,7.400000095
2715302,32.833611,-102.133889,3.505,175,439.4721242,942,8.51540958,4,0.109999999,5,7.400000095
2731301,32.601945,-102.135834,2.2,180,424.1948403,904,9.142019,4,0.109999999,5,7.400000095
2731803,32.524444,-102.195278,2.975,155,411.7737874,897,9.67314534,4,0.109999999,5,7.400000095
2826902,32.5408333,-101.7638889,0.7876,160,463.7035448,853,9.59398798,8,0.100000001,10,8
2724101,32.7097222,-102.1022222,5.49,100,434.7838484,916,8.65986966,20,0.050000001,16,8.399999619
2801801,32.9005556,-101.9294444,5.5875,80,459.6590348,926,8.58052833,20,0.050000001,16,8.399999619
636818,35.398889,-101.545278,1.0612,732,527.5358732,1074,6.31116027,22,0.100000001,17,8.5
763211,35.1027778,-102.1852778,3.352857143,296,477.4458534,1171,5.62425094,15,0.079999998,7,8.300000191
1044503,34.298334,-102.543611,1.71,376,463.5539981,1157,5.54696278,6,0.090000004,11,6.900000095
1044602,34.298334,-102.538056,1.87,367,463.6516476,1156,5.55121929,6,0.090000004,11,6.900000095
1044907,34.263889,-102.512223,1.54,308,462.5089048,1144,5.66011712,6,0.090000004,11,6.900000095
1045802,34.290834,-102.436389,1.54,200,465.0809532,1146,5.65685493,6,0.090000004,11,6.900000095
1060307,34.0938889,-102.5208333,1.03,215,455.857239,1137,5.9462746,6,0.090000004,11,6.900000095
1061701,34.0175,-102.476667,1.21,223,456.0249627,1121,6.24313062,6,0.090000004,11,6.900000095
1063503,34.050556,-102.171111,0.65,240,464.1523432,1083,6.61305187,6,0.090000004,11,6.900000095
2404601,33.918333,-102.539722,1.8,95,450.8921656,1116,6.38607742,6,0.090000004,11,6.900000095
2407104,33.996111,-102.224444,1.48,220,462.1024334,1085,6.64147998,6,0.090000004,11,6.900000095
2407603,33.925833,-102.158056,1.33,233,464.464846,1069,6.99869867,6,0.090000004,11,6.900000095
2407604,33.926111,-102.154167,1.3,198,464.689012,1068,7.0054856,6,0.090000004,11,6.900000095
2414102,33.847778,-102.345278,3.3,130,458.4738056,1070,6.99064288,6,0.090000004,11,6.900000095
2414604,33.830278,-102.262501,4.045,128,460.0950957,1055,7.20001982,6,0.090000004,11,6.900000095
1045804,34.291389,-102.445,1.33,287,464.9732367,1147,5.64574262,8,0.100000001,10,8
1062603,34.049167,-102.280555,3.146666667,203,461.8337379,1098,6.38075456,8,0.100000001,10,8
1062704,34.031111,-102.348056,1.35,235,460.3233258,1103,6.36632774,8,0.100000001,10,8
2405102,33.965834,-102.481667,1.8,110,455.3176194,1109,6.41915799,8,0.100000001,10,8
2415301,33.836389,-102.146667,1.4,199,465.6683554,1044,7.34178217,8,0.100000001,10,8
1046704,34.259167,-102.360001,1.255,298,464.6338811,1132,5.81680964,12,0.119999997,13,7.5
1047702,34.270555,-102.221389,1.95,249,463.4365508,1118,6.04632501,12,0.119999997,13,7.5
1056101,34.246111,-102.093056,1.89,240,462.4134018,1097,6.31568876,12,0.119999997,13,7.5
2415108,33.874444,-102.208612,1.3,200,461.8235704,1057,7.14625444,12,0.119999997,13,7.5
1053608,34.191111,-102.410834,2.51,208,461.8046367,1122,5.97106414,5,0.109999999,6,8
1061201,34.1144444,-102.4186111,4.28,210,459.6564364,1115,6.17057483,5,0.109999999,6,8
1061604,34.055278,-102.407501,1.33,225,459.0582311,1112,6.27889617,5,0.109999999,6,8
1053903,34.140834,-102.379167,3.61,216,461.3166665,1115,6.11213101,2,0.039999999,1,7.400000095
1044906,34.255001,-102.524444,1.34,254,461.9282899,1142,5.66927177,6,0.090000004,11,6.900000095
2412301,33.8497222,-102.5336111,1,100,451.2130793,1105,6.58831441,10,0.109999999,9,8
1053501,34.177222,-102.431111,3.33,193,460.9184885,1121,5.99389889,3,0.059999999,4,8.100000381
1060606,34.074167,-102.508612,0.6595,220,455.6711531,1133,6.02353036,3,0.059999999,4,8.100000381
1062307,34.091945,-102.274167,1.82,298,462.5554843,1103,6.28484313,3,0.059999999,4,8.100000381
1063203,34.085834,-102.1725,1.825,310,463.9576833,1088,6.53528652,3,0.059999999,4,8.100000381
2412302,33.8475,-102.5325,1.58,89,451.2852809,1104,6.59812417,8,0.090000004,8,8.100000381
2405201,33.996945,-102.425278,1.04,180,458.1724553,1110,6.37169734,8,0.109999999,8,8.199999809
2416103,33.851112,-102.110556,1.5,200,467.8228179,1048,7.31084964,10,0.119999997,10,7.5
2408701,33.898056,-102.099445,1.83,220,468.2245352,1056,7.18373697,28,0.100000001,32,8.199999809
1046502,34.310278,-102.305556,1.68,300,466.2450899,1132,5.81943174,22,0.100000001,21,8.399999619
1046604,34.303889,-102.290834,1.86,315,465.7178587,1130,5.85170822,22,0.100000001,21,8.399999619
1046605,34.299722,-102.291667,1.88,308,465.601634,1130,5.85593042,22,0.100000001,21,8.399999619
1053312,34.239722,-102.410001,1.25,232,463.3503496,1131,5.83360211,22,0.100000001,21,8.399999619
1055605,34.175555,-102.133889,1.485,340,463.5137151,1096,6.41021319,22,0.100000001,21,8.399999619
1056403,34.168889,-102.101389,2.28,340,463.9734857,1089,6.4890448,22,0.100000001,21,8.399999619
1063702,34.013612,-102.223333,1.2,235,462.4343895,1087,6.59104453,22,0.100000001,21,8.399999619
2408101,33.963889,-102.101667,1.5,280,467.5289708,1064,6.98767816,22,0.100000001,21,8.399999619
2405701,33.904167,-102.460278,6.255,54,456.0373604,1082,6.74489516,3,0.050000001,4,7.599999905
2413301,33.840834,-102.392222,2.38,118,457.6735309,1070,6.98743831,3,0.050000001,4,7.599999905
1054207,34.233334,-102.308056,1.57,220,464.1258553,1124,5.95005174,8,0.100000001,10,8
1054208,34.2325,-102.310278,0.86,319,464.1086052,1124,5.94795989,8,0.100000001,10,8
1062503,34.053612,-102.322222,2.98,160,461.1276555,1103,6.33775876,10,0.100000001,4.5,7.5
1052804,34.1555556,-102.5791667,0.65,205,457.329478,1150,5.67711413,4,0.109999999,5,7.400000095
1052820,34.150556,-102.563056,0.95,171,457.2680863,1147,5.72691254,4,0.109999999,5,7.400000095
1054803,34.141667,-102.307778,1.67,315,462.6866022,1111,6.14234062,4,0.109999999,5,7.400000095
1062203,34.117778,-102.296667,2.076666667,298,462.5326231,1108,6.20499363,4,0.109999999,5,7.400000095
1062209,34.107778,-102.296667,1.923333333,297,462.4045409,1107,6.22601198,4,0.109999999,5,7.400000095
1063102,34.090556,-102.222778,1.93,326,463.2459888,1096,6.40393485,4,0.109999999,5,7.400000095
2404301,33.966667,-102.536667,2.23,150,451.5294396,1127,6.2302224,10,0.109999999,9,8
2407606,33.928055,-102.158056,1.49,240,464.4614529,1069,6.9908994,10,0.109999999,9,8
657906,35.0241667,-101.895,3.57,160,480.6954928,1097,6.33990997,18,0.07,20,8.399999619
764301,35.117222,-102.028333,3.080647059,253,476.2219717,1142,5.84293216,18,0.07,20,8.399999619
764303,35.083611,-102.010278,3.63975,280,478.5739832,1131,5.97594463,18,0.07,20,8.399999619
649712,35.139167,-101.986389,2.05975,245,477.4893524,1137,5.87684324,18,0.07,20,8.399999619
649802,35.155001,-101.919722,2.2001875,267,483.5297499,1124,6.02956729,18,0.07,20,8.399999619
764122,35.104167,-102.100278,2.7241,256,476.3947112,1156,5.72985683,18,0.07,20,8.399999619
764305,35.101389,-102.009445,3.361625,279,477.8835781,1135,5.92411028,18,0.07,20,8.399999619
764310,35.110556,-102.028055,3.17645,242,476.6748303,1141,5.86156553,18,0.07,20,8.399999619
764605,35.072778,-102.013056,3.6725,264,478.8623007,1129,6.00332166,18,0.07,20,8.399999619
764623,35.076667,-102.010001,3.886315789,278,478.7995895,1129,5.99768548,18,0.07,20,8.399999619
1016502,34.811945,-102.052778,2.25,168,480.5476487,1156,5.71320949,18,0.07,20,8.399999619
1109719,34.778055,-101.977222,1.35,225,473.4535837,1134,5.86061315,18,0.07,20,8.399999619
2762509,32.046667,-102.311389,2.946666667,180,360.1687246,893,10.69373549,20,0.100000001,12,8.199999809
756703,35.130833,-102.115001,3.446210526,292,474.3086728,1164,5.64627119,22,0.109999999,19,8.300000191
764121,35.112223,-102.100278,2.486722222,269,475.7041665,1158,5.71193866,22,0.109999999,19,8.300000191
649806,35.161389,-101.920555,2.331210526,265,483.4788491,1124,6.02640439,22,0.100000001,17,8.5
649807,35.161389,-101.929444,2.416111111,290,482.5043112,1126,6.00182983,0,0,0,0
649911,35.151667,-101.911389,2.44225,270,484.3498329,1122,6.05274163,0,0,0,0
649912,35.147222,-101.915001,2.570238095,270,483.9253852,1122,6.04563254,0,0,0,0
649913,35.161112,-101.911389,2.556578947,289,484.4724271,1122,6.05115877,0,0,0,0
649923,35.1547222,-101.9102778,2.529142857,324,484.5080908,1121,6.0546701,0,0,0,0
649601,35.176667,-101.896945,2.737947368,267,486.2997567,1117,6.0966249,0,0,0,0
649602,35.168333,-101.901945,2.932,280,485.6049006,1119,6.07805854,0,0,0,0
649604,35.1733333,-101.8966667,3.247333333,343,486.2779227,1118,6.09465958,0,0,0,0
649909,35.1614556,-101.9059778,2.6355,267,485.0605901,1120,6.06550088,0,0,0,0
649910,35.156945,-101.908334,2.325166667,260,484.7432077,1121,6.05935496,0,0,0,0
2306109,33.963056,-101.363334,2.23,306,507.2449027,969,7.73635827,18,0.07,20,8.399999619
1152912,34.1425,-101.536667,3.18,383,500.947965,1004,7.36245816,18,0.07,20,8.399999619
2304901,33.881111,-101.514167,3.675,430,499.3539636,979,7.87435097,18,0.07,20,8.399999619
1161111,34.117222,-101.459167,2.86,374,510.8024039,997,7.42036511,55,0.109999999,44,8
2306705,33.916389,-101.356945,2.78,380,511.4061789,961,7.84815011,55,0.109999999,44,8
2305205,33.958889,-101.448056,2.9,416,505.4809537,977,7.75897154,22,0.100000001,21,8.399999619
2305206,33.958889,-101.451112,2.98,415,505.3608767,977,7.75963442,22,0.100000001,21,8.399999619
1152907,34.143889,-101.526389,3.15,390,502.5416017,1004,7.36075463,27,0.119999997,19,7.900000095
1160208,34.113889,-101.543889,2.64,364,499.5665554,1002,7.41762716,27,0.119999997,19,7.900000095
1144905,34.25625,-101.5208333,2.5775,215,508.8160333,1010,7.23661273,27,0.119999997,19,7.900000095
1145802,34.2844444,-101.4322222,2.86,219,528.9668942,999,7.25297672,27,0.119999997,19,7.900000095
1146701,34.285834,-101.364723,3.63,270,546.2632668,992,7.28687267,27,0.119999997,19,7.900000095
1146802,34.290278,-101.293889,3.22,302,559.6756075,982,7.33684587,27,0.119999997,19,7.900000095
1146803,34.287778,-101.306945,3.51,300,558.2102921,984,7.33432711,27,0.119999997,19,7.900000095
1152305,34.228889,-101.525833,2.51,252,506.1026401,1009,7.26389203,27,0.119999997,19,7.900000095
1152908,34.1388889,-101.5186111,3.55,401,503.5963287,1003,7.3693109,27,0.119999997,19,7.900000095
1153503,34.197222,-101.441667,2.956666667,301,519.4035495,999,7.32047573,27,0.119999997,19,7.900000095
1153705,34.126111,-101.486111,3.28,403,507.8317824,1000,7.39633598,27,0.119999997,19,7.900000095
1153802,34.149445,-101.421389,3.1,277,518.4502107,996,7.38391691,27,0.119999997,19,7.900000095
1154302,34.215278,-101.251945,3.45,332,560.6095193,971,7.48950707,27,0.119999997,19,7.900000095
1154502,34.171667,-101.312778,3.43,300,543.2638439,980,7.49532691,27,0.119999997,19,7.900000095
1154802,34.142222,-101.332778,2.13,200,532.3219208,982,7.50320946,27,0.119999997,19,7.900000095
1155901,34.158334,-101.159445,3.48,341,567.3789848,951,7.63435887,27,0.119999997,19,7.900000095
1160605,34.048611,-101.525833,3.31,414,501.1272127,993,7.57398677,27,0.119999997,19,7.900000095
1160902,34.026111,-101.508056,2.65,417,502.4933271,989,7.62487776,27,0.119999997,19,7.900000095
1160903,34.020833,-101.501667,2.87,408,502.9466204,988,7.63627664,27,0.119999997,19,7.900000095
1161204,34.108334,-101.445556,3.63,289,511.7000562,995,7.44259851,27,0.119999997,19,7.900000095
1161214,34.115001,-101.445278,2.74,328,512.2538188,996,7.42894917,27,0.119999997,19,7.900000095
1161305,34.091667,-101.410001,2.03,165,513.3758021,990,7.48247126,27,0.119999997,19,7.900000095
1162502,34.076111,-101.313612,0.78,104,520.6358429,971,7.60475506,27,0.119999997,19,7.900000095
1163601,34.074167,-101.125278,2.1,350,562.3602965,944,7.76725638,27,0.119999997,19,7.900000095
2304202,33.996667,-101.551389,4.57,320,498.3353656,992,7.66505717,27,0.119999997,19,7.900000095
2304605,33.945556,-101.513889,4.59,350,501.1138966,983,7.78213017,27,0.119999997,19,7.900000095
2305202,33.977222,-101.444445,3.41,412,505.5403196,978,7.71774132,27,0.119999997,19,7.900000095
2305301,33.981389,-101.394445,3.383333333,331,506.2331463,975,7.6919339,27,0.119999997,19,7.900000095
2305502,33.936945,-101.446111,2.96,425,505.8035411,974,7.80026413,27,0.119999997,19,7.900000095
2305602,33.952778,-101.376667,3.67,365,507.4105628,969,7.76140467,27,0.119999997,19,7.900000095
2305603,33.933889,-101.398611,3.28,379,507.8327526,969,7.80384571,27,0.119999997,19,7.900000095
2306108,33.963334,-101.359167,2.91,320,507.370906,968,7.73596618,27,0.119999997,19,7.900000095
2306901,33.898334,-101.262501,3.4,300,521.9027661,949,7.86764839,27,0.119999997,19,7.900000095
2307405,33.934167,-101.234167,3.64,320,523.9362353,951,7.81508042,27,0.119999997,19,7.900000095
2307803,33.875555,-101.175278,1.975,350,534.1329976,939,7.90766659,27,0.119999997,19,7.900000095
2308403,33.9438889,-101.0880556,3.168,386,557.3792355,936,7.94166898,27,0.119999997,19,7.900000095
2313304,33.868055,-101.414445,2.96,400,509.3617605,964,7.91436904,27,0.119999997,19,7.900000095
2316205,33.858612,-101.047778,2.13,415,560.813298,913,8.14420257,27,0.119999997,19,7.900000095
